"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Halifax, Nova Scotia","2016S05001250","Both sexes","All ages","Persons","249","units","0","v1061308741","13.1.1","480523","","","","0"
"2014","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","758976","","","","0"
"2015","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","758842","","","","0"
"2016","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","763350","","","","0"
"2017","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","766621","","","","0"
"2018","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","770301","","","","0"
"2019","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","777128","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","782996","","","","0"
"2021","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","790398","","","","0"
"2022","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v1061309071","14.1.1","812061","","","","0"
"2014","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","157605","","","","0"
"2015","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","157286","","","","0"
"2016","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","157164","","","","0"
"2017","Campbellton-Miramichi, New Brunswick","2016S05001310","Both sexes","All ages","Persons","249","units","0","v1061309401","15.1.1","156498","","","","0"
